,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in utqiagvik alaska,"('jobs in utqiagvik alaska', 'utqiagvik jobs')",jobs in utqiagvik alaska,utqiagvik jobs,1,0,google,2025-10-28 14:47:13.860141,,
1,jobs in utqiagvik alaska,"('jobs in utqiagvik alaska', 'barrow alaska jobs')",jobs in utqiagvik alaska,barrow alaska jobs,2,0,google,2025-10-28 14:47:13.860141,,
2,jobs in utqiagvik alaska,"('jobs in utqiagvik alaska', 'what jobs are available in alaska')",jobs in utqiagvik alaska,what jobs are available in alaska,3,0,google,2025-10-28 14:47:13.860141,,
3,jobs in utqiagvik alaska,"('jobs in utqiagvik alaska', 'utqiagvik ak jobs')",jobs in utqiagvik alaska,utqiagvik ak jobs,4,0,google,2025-10-28 14:47:13.860141,,
4,jobs in utqiagvik alaska,"('utqiagvik jobs', 'utqiagvik alaska jobs')",utqiagvik jobs,utqiagvik alaska jobs,1,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
5,jobs in utqiagvik alaska,"('utqiagvik jobs', 'utqiagvik teaching jobs')",utqiagvik jobs,utqiagvik teaching jobs,2,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
6,jobs in utqiagvik alaska,"('utqiagvik jobs', 'utqiagvik nurse jobs')",utqiagvik jobs,utqiagvik nurse jobs,3,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
7,jobs in utqiagvik alaska,"('utqiagvik jobs', 'city of utqiagvik jobs')",utqiagvik jobs,city of utqiagvik jobs,4,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
8,jobs in utqiagvik alaska,"('utqiagvik jobs', 'barrow alaska jobs')",utqiagvik jobs,barrow alaska jobs,5,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
9,jobs in utqiagvik alaska,"('utqiagvik jobs', 'is utqiagvik dangerous')",utqiagvik jobs,is utqiagvik dangerous,6,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
10,jobs in utqiagvik alaska,"('utqiagvik jobs', 'barrow alaska oil jobs')",utqiagvik jobs,barrow alaska oil jobs,7,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
11,jobs in utqiagvik alaska,"('utqiagvik jobs', 'utqiagvik city')",utqiagvik jobs,utqiagvik city,8,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
12,jobs in utqiagvik alaska,"('utqiagvik jobs', 'utqiagvik college')",utqiagvik jobs,utqiagvik college,9,1,google,2025-10-28 14:47:15.294437,,jobs in utqiagvik alaska
